ticker,week_monday,week_friday,asof_target,drop_reason,detail
AMZN,2025-02-10,2025-02-12,2025-02-11,empty_option_chain,asof=2025-02-11 exp_req=2025-02-12 exp_used=2025-02-12 conv=FRI
PLTR,2025-02-10,2025-02-12,2025-02-11,empty_option_chain,asof=2025-02-11 exp_req=2025-02-12 exp_used=2025-02-12 conv=FRI
AAPL,2025-02-10,2025-02-13,2025-02-12,too_few_in_prn_band,kept=5 need=7 inside=11 used_abslogm=0.0600 spot_scale=split_adj moneyness_ref=forward
AMZN,2025-02-10,2025-02-13,2025-02-12,too_few_in_prn_band,kept=5 need=7 inside=11 used_abslogm=0.0600 spot_scale=split_adj moneyness_ref=forward
NVDA,2025-02-10,2025-02-12,2025-02-11,empty_option_chain,asof=2025-02-11 exp_req=2025-02-12 exp_used=2025-02-12 conv=FRI
TSLA,2025-02-10,2025-02-12,2025-02-11,empty_option_chain,asof=2025-02-11 exp_req=2025-02-12 exp_used=2025-02-12 conv=FRI
NFLX,2025-02-10,2025-02-12,2025-02-11,empty_option_chain,asof=2025-02-11 exp_req=2025-02-12 exp_used=2025-02-12 conv=FRI
AAPL,2025-02-10,2025-02-14,2025-02-13,too_few_in_prn_band,kept=4 need=7 inside=12 used_abslogm=0.0600 spot_scale=split_adj moneyness_ref=forward
GOOGL,2025-02-10,2025-02-14,2025-02-13,too_few_in_prn_band,kept=4 need=7 inside=10 used_abslogm=0.0700 spot_scale=split_adj moneyness_ref=forward
MSFT,2025-02-10,2025-02-14,2025-02-13,too_few_in_prn_band,kept=5 need=7 inside=20 used_abslogm=0.0600 spot_scale=split_adj moneyness_ref=forward
AMZN,2025-02-10,2025-02-14,2025-02-13,too_few_in_prn_band,kept=4 need=7 inside=11 used_abslogm=0.0600 spot_scale=split_adj moneyness_ref=forward
AAPL,2025-02-17,2025-02-18,2025-02-17,bad_T_days,0
GOOGL,2025-02-17,2025-02-18,2025-02-17,bad_T_days,0
MSFT,2025-02-17,2025-02-18,2025-02-17,bad_T_days,0
META,2025-02-17,2025-02-18,2025-02-17,bad_T_days,0
AMZN,2025-02-17,2025-02-18,2025-02-17,bad_T_days,0
PLTR,2025-02-17,2025-02-18,2025-02-17,bad_T_days,0
NVDA,2025-02-17,2025-02-18,2025-02-17,bad_T_days,0
QQQ,2025-02-17,2025-02-18,2025-02-17,bad_T_days,0
SPY,2025-02-17,2025-02-18,2025-02-17,bad_T_days,0
IWM,2025-02-17,2025-02-18,2025-02-17,bad_T_days,0
TSLA,2025-02-17,2025-02-18,2025-02-17,bad_T_days,0
NFLX,2025-02-17,2025-02-18,2025-02-17,bad_T_days,0
IWM,2025-02-10,2025-02-14,2025-02-13,too_few_in_prn_band,kept=6 need=7 inside=32 used_abslogm=0.0600 spot_scale=split_adj moneyness_ref=forward
IWM,2025-02-17,2025-02-19,2025-02-18,too_few_in_prn_band,kept=4 need=7 inside=28 used_abslogm=0.0600 spot_scale=split_adj moneyness_ref=forward
AAPL,2025-02-17,2025-02-19,2025-02-18,empty_option_chain,asof=2025-02-18 exp_req=2025-02-19 exp_used=2025-02-19 conv=FRI
GOOGL,2025-02-17,2025-02-19,2025-02-18,empty_option_chain,asof=2025-02-18 exp_req=2025-02-19 exp_used=2025-02-19 conv=FRI
MSFT,2025-02-17,2025-02-19,2025-02-18,empty_option_chain,asof=2025-02-18 exp_req=2025-02-19 exp_used=2025-02-19 conv=FRI
META,2025-02-17,2025-02-19,2025-02-18,empty_option_chain,asof=2025-02-18 exp_req=2025-02-19 exp_used=2025-02-19 conv=FRI
AMZN,2025-02-17,2025-02-19,2025-02-18,empty_option_chain,asof=2025-02-18 exp_req=2025-02-19 exp_used=2025-02-19 conv=FRI
PLTR,2025-02-17,2025-02-19,2025-02-18,empty_option_chain,asof=2025-02-18 exp_req=2025-02-19 exp_used=2025-02-19 conv=FRI
NVDA,2025-02-17,2025-02-19,2025-02-18,empty_option_chain,asof=2025-02-18 exp_req=2025-02-19 exp_used=2025-02-19 conv=FRI
AAPL,2025-02-17,2025-02-20,2025-02-19,too_few_in_prn_band,kept=5 need=7 inside=12 used_abslogm=0.0600 spot_scale=split_adj moneyness_ref=forward
GOOGL,2025-02-17,2025-02-20,2025-02-19,too_few_in_prn_band,kept=4 need=7 inside=10 used_abslogm=0.0700 spot_scale=split_adj moneyness_ref=forward
AMZN,2025-02-17,2025-02-20,2025-02-19,too_few_in_prn_band,kept=5 need=7 inside=11 used_abslogm=0.0600 spot_scale=split_adj moneyness_ref=forward
SPY,2025-02-17,2025-02-20,2025-02-19,too_few_in_prn_band,kept=4 need=7 inside=23 used_abslogm=0.0600 spot_scale=split_adj moneyness_ref=forward
IWM,2025-02-17,2025-02-20,2025-02-19,too_few_in_prn_band,kept=4 need=7 inside=16 used_abslogm=0.0600 spot_scale=split_adj moneyness_ref=forward
TSLA,2025-02-17,2025-02-19,2025-02-18,empty_option_chain,asof=2025-02-18 exp_req=2025-02-19 exp_used=2025-02-19 conv=FRI
NFLX,2025-02-17,2025-02-19,2025-02-18,empty_option_chain,asof=2025-02-18 exp_req=2025-02-19 exp_used=2025-02-19 conv=FRI
AAPL,2025-02-17,2025-02-21,2025-02-20,too_few_in_prn_band,kept=3 need=7 inside=12 used_abslogm=0.0600 spot_scale=split_adj moneyness_ref=forward
GOOGL,2025-02-17,2025-02-21,2025-02-20,too_few_in_prn_band,kept=3 need=7 inside=11 used_abslogm=0.0700 spot_scale=split_adj moneyness_ref=forward
MSFT,2025-02-17,2025-02-21,2025-02-20,too_few_in_prn_band,kept=5 need=7 inside=19 used_abslogm=0.0600 spot_scale=split_adj moneyness_ref=forward
AMZN,2025-02-17,2025-02-21,2025-02-20,too_few_in_prn_band,kept=3 need=7 inside=11 used_abslogm=0.0600 spot_scale=split_adj moneyness_ref=forward
IWM,2025-02-17,2025-02-21,2025-02-20,too_few_in_prn_band,kept=5 need=7 inside=27 used_abslogm=0.0600 spot_scale=split_adj moneyness_ref=forward
AAPL,2025-02-24,2025-02-25,2025-02-24,empty_option_chain,asof=2025-02-24 exp_req=2025-02-25 exp_used=2025-02-25 conv=FRI
GOOGL,2025-02-24,2025-02-25,2025-02-24,empty_option_chain,asof=2025-02-24 exp_req=2025-02-25 exp_used=2025-02-25 conv=FRI
MSFT,2025-02-24,2025-02-25,2025-02-24,empty_option_chain,asof=2025-02-24 exp_req=2025-02-25 exp_used=2025-02-25 conv=FRI
META,2025-02-24,2025-02-25,2025-02-24,empty_option_chain,asof=2025-02-24 exp_req=2025-02-25 exp_used=2025-02-25 conv=FRI
AMZN,2025-02-24,2025-02-25,2025-02-24,empty_option_chain,asof=2025-02-24 exp_req=2025-02-25 exp_used=2025-02-25 conv=FRI
PLTR,2025-02-24,2025-02-25,2025-02-24,empty_option_chain,asof=2025-02-24 exp_req=2025-02-25 exp_used=2025-02-25 conv=FRI
NVDA,2025-02-24,2025-02-25,2025-02-24,empty_option_chain,asof=2025-02-24 exp_req=2025-02-25 exp_used=2025-02-25 conv=FRI
