ticker,week_monday,week_friday,asof_target,drop_reason,detail
AAPL,2025-01-20,2025-01-24,2025-01-23,too_few_in_prn_band,kept=4 need=6 inside=11 used_abslogm=0.0600 spot_scale=split_adj moneyness_ref=forward
GOOGL,2025-01-20,2025-01-24,2025-01-23,too_few_in_prn_band,kept=5 need=6 inside=10 used_abslogm=0.0800 spot_scale=split_adj moneyness_ref=forward
AMZN,2025-01-20,2025-01-24,2025-01-23,too_few_in_prn_band,kept=5 need=6 inside=11 used_abslogm=0.0600 spot_scale=split_adj moneyness_ref=forward
INTC,2025-01-13,2025-01-17,2025-01-16,thin_band_inside,inside=6 raw=6 spot_scale=split_adj used_abslogm=0.1100 moneyness_ref=forward spot_ref=19.670588 spot=19.670000 splits_preload=0
INTC,2025-01-27,2025-01-31,2025-01-30,thin_band_inside,inside=9 raw=9 spot_scale=split_adj used_abslogm=0.1100 moneyness_ref=forward spot_ref=20.010616 spot=20.010000 splits_preload=0
INTC,2025-02-03,2025-02-07,2025-02-06,thin_band_inside,inside=9 raw=9 spot_scale=split_adj used_abslogm=0.1100 moneyness_ref=forward spot_ref=19.380906 spot=19.379999 splits_preload=0
AAPL,2025-02-17,2025-02-21,2025-02-20,too_few_in_prn_band,kept=5 need=6 inside=12 used_abslogm=0.0600 spot_scale=split_adj moneyness_ref=forward
AMZN,2025-02-17,2025-02-21,2025-02-20,too_few_in_prn_band,kept=5 need=6 inside=11 used_abslogm=0.0600 spot_scale=split_adj moneyness_ref=forward
INTC,2025-03-03,2025-03-07,2025-03-06,thin_band_inside,inside=7 raw=7 spot_scale=split_adj used_abslogm=0.1100 moneyness_ref=forward spot_ref=20.751019 spot=20.750000 splits_preload=0
AAPL,2025-03-24,2025-03-28,2025-03-27,too_few_in_prn_band,kept=5 need=6 inside=11 used_abslogm=0.0600 spot_scale=split_adj moneyness_ref=forward
INTC,2025-04-07,2025-04-11,2025-04-10,thin_band_inside,inside=9 raw=9 spot_scale=split_adj used_abslogm=0.1100 moneyness_ref=forward spot_ref=19.880947 spot=19.879999 splits_preload=0
AAPL,2025-04-14,2025-04-18,2025-04-17,empty_option_chain,asof=2025-04-17 exp_req=2025-04-18 exp_used=2025-04-18 conv=FRI
GOOGL,2025-04-14,2025-04-18,2025-04-17,empty_option_chain,asof=2025-04-17 exp_req=2025-04-18 exp_used=2025-04-18 conv=FRI
MSFT,2025-04-14,2025-04-18,2025-04-17,empty_option_chain,asof=2025-04-17 exp_req=2025-04-18 exp_used=2025-04-18 conv=FRI
META,2025-04-14,2025-04-18,2025-04-17,empty_option_chain,asof=2025-04-17 exp_req=2025-04-18 exp_used=2025-04-18 conv=FRI
AMZN,2025-04-14,2025-04-18,2025-04-17,empty_option_chain,asof=2025-04-17 exp_req=2025-04-18 exp_used=2025-04-18 conv=FRI
PLTR,2025-04-14,2025-04-18,2025-04-17,empty_option_chain,asof=2025-04-17 exp_req=2025-04-18 exp_used=2025-04-18 conv=FRI
NVDA,2025-04-14,2025-04-18,2025-04-17,empty_option_chain,asof=2025-04-17 exp_req=2025-04-18 exp_used=2025-04-18 conv=FRI
TSLA,2025-04-14,2025-04-18,2025-04-17,empty_option_chain,asof=2025-04-17 exp_req=2025-04-18 exp_used=2025-04-18 conv=FRI
NFLX,2025-04-14,2025-04-18,2025-04-17,empty_option_chain,asof=2025-04-17 exp_req=2025-04-18 exp_used=2025-04-18 conv=FRI
QQQ,2025-04-14,2025-04-18,2025-04-17,empty_option_chain,asof=2025-04-17 exp_req=2025-04-18 exp_used=2025-04-18 conv=FRI
IWM,2025-04-14,2025-04-18,2025-04-17,empty_option_chain,asof=2025-04-17 exp_req=2025-04-18 exp_used=2025-04-18 conv=FRI
SPY,2025-04-14,2025-04-18,2025-04-17,empty_option_chain,asof=2025-04-17 exp_req=2025-04-18 exp_used=2025-04-18 conv=FRI
AMD,2025-04-14,2025-04-18,2025-04-17,empty_option_chain,asof=2025-04-17 exp_req=2025-04-18 exp_used=2025-04-18 conv=FRI
INTC,2025-04-14,2025-04-18,2025-04-17,empty_option_chain,asof=2025-04-17 exp_req=2025-04-18 exp_used=2025-04-18 conv=FRI
INTC,2025-04-21,2025-04-25,2025-04-24,thin_band_inside,inside=9 raw=9 spot_scale=split_adj used_abslogm=0.1100 moneyness_ref=forward spot_ref=21.491080 spot=21.490000 splits_preload=0
INTC,2025-04-28,2025-05-02,2025-05-01,thin_band_inside,inside=9 raw=9 spot_scale=split_adj used_abslogm=0.1100 moneyness_ref=forward spot_ref=19.980956 spot=19.980000 splits_preload=0
INTC,2025-05-05,2025-05-09,2025-05-08,thin_band_inside,inside=8 raw=8 spot_scale=split_adj used_abslogm=0.1100 moneyness_ref=forward spot_ref=21.001382 spot=21.000000 splits_preload=0
INTC,2025-05-19,2025-05-23,2025-05-22,thin_band_inside,inside=9 raw=9 spot_scale=split_adj used_abslogm=0.1100 moneyness_ref=forward spot_ref=20.551345 spot=20.549999 splits_preload=0
INTC,2025-05-26,2025-05-30,2025-05-29,thin_band_inside,inside=9 raw=9 spot_scale=split_adj used_abslogm=0.1100 moneyness_ref=forward spot_ref=20.251321 spot=20.250000 splits_preload=0
INTC,2025-06-02,2025-06-06,2025-06-05,thin_band_inside,inside=8 raw=8 spot_scale=split_adj used_abslogm=0.1100 moneyness_ref=forward spot_ref=19.991299 spot=19.990000 splits_preload=0
AAPL,2025-06-16,2025-06-20,2025-06-19,bad_T_days,0
GOOGL,2025-06-16,2025-06-20,2025-06-19,bad_T_days,0
MSFT,2025-06-16,2025-06-20,2025-06-19,bad_T_days,0
META,2025-06-16,2025-06-20,2025-06-19,bad_T_days,0
AMZN,2025-06-16,2025-06-20,2025-06-19,bad_T_days,0
PLTR,2025-06-16,2025-06-20,2025-06-19,bad_T_days,0
NVDA,2025-06-16,2025-06-20,2025-06-19,bad_T_days,0
TSLA,2025-06-16,2025-06-20,2025-06-19,bad_T_days,0
NFLX,2025-06-16,2025-06-20,2025-06-19,bad_T_days,0
QQQ,2025-06-16,2025-06-20,2025-06-19,bad_T_days,0
IWM,2025-06-16,2025-06-20,2025-06-19,bad_T_days,0
SPY,2025-06-16,2025-06-20,2025-06-19,bad_T_days,0
AMD,2025-06-16,2025-06-20,2025-06-19,bad_T_days,0
INTC,2025-06-16,2025-06-20,2025-06-19,bad_T_days,0
GOOGL,2025-06-23,2025-06-27,2025-06-26,too_few_in_prn_band,kept=4 need=6 inside=10 used_abslogm=0.0700 spot_scale=split_adj moneyness_ref=forward
NVDA,2025-06-23,2025-06-27,2025-06-26,too_few_in_prn_band,kept=3 need=6 inside=12 used_abslogm=0.0700 spot_scale=split_adj moneyness_ref=forward
INTC,2025-06-09,2025-06-13,2025-06-12,thin_band_inside,inside=9 raw=9 spot_scale=split_adj used_abslogm=0.1100 moneyness_ref=forward spot_ref=20.771364 spot=20.770000 splits_preload=0
