trial_id,trial_dir,C,features,decay,ticker_intercepts,calibration,objective_score,status
186__C=auto__feat=v:rv20+m:abs_log_m_fwd__ti=non_foundation__tx=0__decay=0__cal=none__foundation=on__fweight=1__9e722404,/Users/dorianc./Desktop/polyedgetool/prediction-market-pricing-analysis/src/data/models/auto-run-20260223T114329Z/trials/186__C=auto__feat=v:rv20+m:abs_log_m_fwd__ti=non_foundation__tx=0__decay=0__cal=none__foundation=on__fweight=1__9e722404,,"x_logit_prn,rv20,abs_log_m_fwd",0,non_foundation,none,0.4886662790590261,success
065__C=auto__feat=m:log_m_fwd+abs_log_m_fwd+x:x_abs_m__ti=non_foundation__tx=0__decay=0__cal=none__foundation=off__9c841d21,/Users/dorianc./Desktop/polyedgetool/prediction-market-pricing-analysis/src/data/models/auto-run-20260223T114329Z/trials/065__C=auto__feat=m:log_m_fwd+abs_log_m_fwd+x:x_abs_m__ti=non_foundation__tx=0__decay=0__cal=none__foundation=off__9c841d21,,"x_logit_prn,log_m_fwd,abs_log_m_fwd,x_abs_m",0,non_foundation,none,0.49218273565107035,success
041__C=auto__feat=v:rv20+m:log_m_fwd+abs_log_m_fwd+x:x_abs_m__ti=non_foundation__tx=0__decay=0__cal=none__foundation=off__5447aaec,/Users/dorianc./Desktop/polyedgetool/prediction-market-pricing-analysis/src/data/models/auto-run-20260223T114329Z/trials/041__C=auto__feat=v:rv20+m:log_m_fwd+abs_log_m_fwd+x:x_abs_m__ti=non_foundation__tx=0__decay=0__cal=none__foundation=off__5447aaec,,"x_logit_prn,rv20,log_m_fwd,abs_log_m_fwd,x_abs_m",0,non_foundation,none,0.48855933667529056,success
308__C=auto__feat=v:rv20_sqrtT__ti=non_foundation__tx=0__decay=0__cal=platt__foundation=on__fweight=1__b9bc1948,/Users/dorianc./Desktop/polyedgetool/prediction-market-pricing-analysis/src/data/models/auto-run-20260223T114329Z/trials/308__C=auto__feat=v:rv20_sqrtT__ti=non_foundation__tx=0__decay=0__cal=platt__foundation=on__fweight=1__b9bc1948,,"x_logit_prn,rv20_sqrtT",0,non_foundation,platt,0.4927532286627454,success
118__C=auto__feat=v:rv20+m:log_m_fwd+abs_log_m_fwd+x:x_m__ti=none__tx=0__decay=0__cal=none__foundation=on__fweight=1__f9e9face,/Users/dorianc./Desktop/polyedgetool/prediction-market-pricing-analysis/src/data/models/auto-run-20260223T114329Z/trials/118__C=auto__feat=v:rv20+m:log_m_fwd+abs_log_m_fwd+x:x_m__ti=none__tx=0__decay=0__cal=none__foundation=on__fweight=1__f9e9face,,"x_logit_prn,rv20,log_m_fwd,abs_log_m_fwd,x_m",0,none,none,0.4903843237314969,success
058__C=auto__feat=v:rv20_sqrtT+m:log_m_fwd+abs_log_m_fwd+x:x_abs_m__ti=none__tx=0__decay=0__cal=none__foundation=on__fweight=1__e80b5329,/Users/dorianc./Desktop/polyedgetool/prediction-market-pricing-analysis/src/data/models/auto-run-20260223T114329Z/trials/058__C=auto__feat=v:rv20_sqrtT+m:log_m_fwd+abs_log_m_fwd+x:x_abs_m__ti=none__tx=0__decay=0__cal=none__foundation=on__fweight=1__e80b5329,,"x_logit_prn,rv20_sqrtT,log_m_fwd,abs_log_m_fwd,x_abs_m",0,none,none,0.49039212868357623,success
162__C=auto__feat=v:rv20_sqrtT+m:log_m_fwd+x:x_m__ti=non_foundation__tx=0__decay=0__cal=none__foundation=on__fweight=1__07b7fbf5,/Users/dorianc./Desktop/polyedgetool/prediction-market-pricing-analysis/src/data/models/auto-run-20260223T114329Z/trials/162__C=auto__feat=v:rv20_sqrtT+m:log_m_fwd+x:x_m__ti=non_foundation__tx=0__decay=0__cal=none__foundation=on__fweight=1__07b7fbf5,,"x_logit_prn,rv20_sqrtT,log_m_fwd,x_m",0,non_foundation,none,0.49173228861227364,success
145__C=auto__feat=v:rv20+m:log_m_fwd+x:x_m__ti=all__tx=0__decay=0__cal=none__foundation=off__9a87ddba,/Users/dorianc./Desktop/polyedgetool/prediction-market-pricing-analysis/src/data/models/auto-run-20260223T114329Z/trials/145__C=auto__feat=v:rv20+m:log_m_fwd+x:x_m__ti=all__tx=0__decay=0__cal=none__foundation=off__9a87ddba,,"x_logit_prn,rv20,log_m_fwd,x_m",0,all,none,0.48853557814158455,success
008__C=auto__feat=v:rv20+m:abs_log_m_fwd+x:x_abs_m__ti=non_foundation__tx=0__decay=0__cal=platt__foundation=on__fweight=1__25bff4bd,/Users/dorianc./Desktop/polyedgetool/prediction-market-pricing-analysis/src/data/models/auto-run-20260223T114329Z/trials/008__C=auto__feat=v:rv20+m:abs_log_m_fwd+x:x_abs_m__ti=non_foundation__tx=0__decay=0__cal=platt__foundation=on__fweight=1__25bff4bd,,"x_logit_prn,rv20,abs_log_m_fwd,x_abs_m",0,non_foundation,platt,0.4886032754571973,success
284__C=auto__feat=m:log_m_fwd__ti=non_foundation__tx=0__decay=0__cal=platt__foundation=on__fweight=1__ea8310f5,/Users/dorianc./Desktop/polyedgetool/prediction-market-pricing-analysis/src/data/models/auto-run-20260223T114329Z/trials/284__C=auto__feat=m:log_m_fwd__ti=non_foundation__tx=0__decay=0__cal=platt__foundation=on__fweight=1__ea8310f5,,"x_logit_prn,log_m_fwd",0,non_foundation,platt,0.4939688373731385,success
